Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","036","Australia","7271","Temperature change","7001","January","2024","2024","°c","1.564","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7002","February","2024","2024","°c","1.76","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7003","March","2024","2024","°c","1.116","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7004","April","2024","2024","°c","-0.283","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7005","May","2024","2024","°c","1.309","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7006","June","2024","2024","°c","0.598","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7007","July","2024","2024","°c","0.668","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7008","August","2024","2024","°c","2.89","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7009","September","2024","2024","°c","1.918","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7010","October","2024","2024","°c","2.417","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7011","November","2024","2024","°c","1.799","E","Estimated value"
"ET","Temperature change on land","036","Australia","7271","Temperature change","7012","December","2024","2024","°c","1.856","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7001","January","2024","2024","°c","3.93","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7002","February","2024","2024","°c","4.321","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7003","March","2024","2024","°c","2.853","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7004","April","2024","2024","°c","3.328","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7005","May","2024","2024","°c","2.008","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7006","June","2024","2024","°c","1.367","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7007","July","2024","2024","°c","2.127","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7008","August","2024","2024","°c","2.077","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7009","September","2024","2024","°c","3.885","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7010","October","2024","2024","°c","3.083","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7011","November","2024","2024","°c","3.598","E","Estimated value"
"ET","Temperature change on land","124","Canada","7271","Temperature change","7012","December","2024","2024","°c","4.53","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","2024","2024","°c","2.176","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7002","February","2024","2024","°c","2.854","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7003","March","2024","2024","°c","0.788","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7004","April","2024","2024","°c","3.114","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7005","May","2024","2024","°c","1.376","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7006","June","2024","2024","°c","1.759","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7007","July","2024","2024","°c","2.517","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7008","August","2024","2024","°c","2.487","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7009","September","2024","2024","°c","3.24","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7010","October","2024","2024","°c","3.06","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7011","November","2024","2024","°c","1.856","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7012","December","2024","2024","°c","-0.091","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7001","January","2024","2024","°c","1.793","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7002","February","2024","2024","°c","0.481","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7003","March","2024","2024","°c","-0.88","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7004","April","2024","2024","°c","0.359","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7005","May","2024","2024","°c","-0.99","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7006","June","2024","2024","°c","1.341","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7007","July","2024","2024","°c","0.713","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7008","August","2024","2024","°c","0.864","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7009","September","2024","2024","°c","0.777","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7010","October","2024","2024","°c","0.69","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7011","November","2024","2024","°c","0.908","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7012","December","2024","2024","°c","1.869","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7001","January","2024","2024","°c","2.944","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7002","February","2024","2024","°c","5.49","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7003","March","2024","2024","°c","3.69","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7004","April","2024","2024","°c","2.297","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7005","May","2024","2024","°c","1.676","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7006","June","2024","2024","°c","2.235","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7007","July","2024","2024","°c","2.965","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7008","August","2024","2024","°c","4.479","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7009","September","2024","2024","°c","0.643","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7010","October","2024","2024","°c","2.962","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7011","November","2024","2024","°c","2.047","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7012","December","2024","2024","°c","1.848","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7001","January","2024","2024","°c","1.088","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7002","February","2024","2024","°c","3.325","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7003","March","2024","2024","°c","2.09","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7004","April","2024","2024","°c","1.509","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7005","May","2024","2024","°c","2.948","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7006","June","2024","2024","°c","0.295","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7007","July","2024","2024","°c","0.635","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7008","August","2024","2024","°c","1.291","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7009","September","2024","2024","°c","0.349","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7010","October","2024","2024","°c","1.106","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7011","November","2024","2024","°c","1.408","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7012","December","2024","2024","°c","2.15","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7001","January","2024","2024","°c","1.824","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7002","February","2024","2024","°c","4.926","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7003","March","2024","2024","°c","3.626","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7004","April","2024","2024","°c","2.398","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7005","May","2024","2024","°c","2.593","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7006","June","2024","2024","°c","2.304","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7007","July","2024","2024","°c","2.784","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7008","August","2024","2024","°c","3.356","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7009","September","2024","2024","°c","2.109","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7010","October","2024","2024","°c","2.223","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7011","November","2024","2024","°c","1.783","E","Estimated value"
"ET","Temperature change on land","097","European Union (27)","7271","Temperature change","7012","December","2024","2024","°c","2.257","E","Estimated value"
